tracks/artist,tracks/album,tracks/track
Love of Lesbian,Cuentos Chinos para Niños del Japón,La Niña Imantada
GIRLFRIEND,HOUSE,sky & blue
Virginia To Vegas,We Are Stars,We Are Stars
Luis Fonsi,Despacito Feat. Justin Bieber,Despacito - Remix
AmaLee,Nostalgia VII,"Ashita Wo Narase (From ""Fairy Tail"")"
Guaco,Presente Continuo,Baja
Axel,Desequilibrio,Mi Corazón Es Tuyo
Salta La Banca,Copla,Ellos
ASIAN KUNG-FU GENERATION,Sol-Fa,Rewrite - 2016 Rerecorded
Mat Kearney,JUST KIDS,Heartbeat
Carlos Sadness,Groenlandia & Houdini,Groenlandia
Daichi Miura,BEST,IT'S THE RIGHT TIME
BRADIO,FREEDOM,All I Need Is You
Mägo de Oz,"Hechizos, pócimas y brujería",H2Oz
Nano Stern,Los Espejos,Azul
Ballyhoo!,Daydreams,Walk Away
AmaLee,Make My Story,Make My Story
The Covers Duo,Anime Openings 1,Sobakasu (Samurai X)
Mon Laferte,Mon Laferte,Amor Completo
Covi Quintana,Amor Amor,Amor Amor
Juan Ingaramo,Músico,Matemática
Joe Vasconcellos,El Vuelo,El Vuelo
Andrés Calamaro,Alta Suciedad,Flaca
Diego Torres,MTV Unplugged,Sueños (with Julieta Venegas) - MTV Unplugged
Hiroshi Kitadani,OVER THE TOP,OVER THE TOP
Gemeliers,Yo No Contaba Contigo,Yo No Contaba Contigo
Lil Silvio,Versatilidad & Vivencias (Deluxe Edition),Que Tengo Que Hacer
J Balvin,Ginza,Ginza - Remix
Wamba,Cómplices,Jamás Atrás
Matt Hunter,Mas Que Tu Amigo,Mas Que Tu Amigo
Erik Rubin,Erik Rubin,Malas Intenciones
Tor Miller,Carter & Cash,Carter & Cash
Madvanna,Giros,Giros
Nicolas Mayorca,Todo Por Su Amor,Todo Por Su Amor
Wisin,Los Vaqueros: La Trilogía,Que Se Sienta el Deseo (feat. Ricky Martin)
El Vega Life,La Vida Es Muy Bonita - Single,La Vida Es Muy Bonita
Orquesta Olympus,Orquestas de Galicia,¿Por Qué Les Mientes?
Dillon Francis,"Money Sucks, Friends Rule",Love in the Middle of a Firefight (feat. Brendon Urie)
Mrs. GREEN APPLE,ENSEMBLE,アウフヘーベン
Mon Laferte,Rock Millennial,El Beso
Taichi Mukai,リセット,リセット
Bruno Mars,Unorthodox Jukebox,When I Was Your Man
Kaptan,Anywhere We Go - Single,Anywhere We Go
The Chainsmokers,Closer (Remixes) (feat. Halsey),Closer (feat. Halsey) - R3hab Remix
Afrojack,SummerThing!,SummerThing!
Mike Bahía,Perdón,Perdón
Reik,Ráptame,Ráptame
Ed Sheeran,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber)
The Covers Duo,Anime Openings 2,Quiero Gritar Te Amo (Slam Dunk)
Paramore,After Laughter,Hard Times
Noche de Brujas,Desnudos,Debería Odiarte
Piso 21,Ubuntu,Déjala Que Vuelva (feat. Manuel Turizo)
De Saloon,Abrázame,Dejalo
Ana Tijoux,La Bala,Sacar la Voz
ERICK LEXI,Sin Nada,Pa' Bailar
Angélica Rahe,Pa' Lante,Pa' Lante
Avicii,The Days / Nights,The Nights
Batido de Coco,No Nos Ven,No Nos Ven
Shawn Mendes,Handwritten,Stitches
Ximena Sariñana,No todo lo puedes dar,Ruptura
Motohiro Hata,Documentary,透明だった世界
Juan Alcaraz,A Puro Dolor,A Puro Dolor - Radio Version
Jay y el Punto,"Grandes Éxitos, Vol. 1",Te Quiero de Verdad - Salsa
Bombai,El Teatro de los Sueños,El Teatro de los Sueños
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White) - Kasum Remix"
Down With Webster,Party For Your Life,Chills
Pitbull,Por Favor,Por Favor
Agapornis,Agapornis - Volando Con Ritmo,En El Muelle De San Blas
須田景凪,porte,veil
Tunacola,Tunacola,Primavera Now
Jonas Blue,Perfect Strangers,Perfect Strangers
Pedropiedra,Amar en Silencio,Amar en Silencio
Linked Horizon,Shoukei to Shikabane no Michi [TV Size],Shoukei to Shikabane no Michi [TV Size]
Coti,Solamente Vos,Solamente Vos
Robin Thicke,Back Together,Back Together
Nicky Jam,El Amante,El Amante
Hoja de Parra,Algo mas,Rumbos
Greeicy,Amantes,Amantes - Versión Salsa
Sanluis,Se Acabó (feat. Chino & Nacho),Se Acabó (feat. Chino & Nacho)
NateWantsToBattle,Gamushara,Gamushara
Pasabordo,Por Ti,El Calendario
RADWIMPS,Your Name.,Zenzenzense - English ver.
Juan Magán,Quiero Que Sepas,Quiero Que Sepas
Alice True Colors,Caribe,Caribe
Miranda!,Fuerte,Cálido y Rojo
The Maine,American Candy,English Girls
Plain White T's,American Nights,Pause
Daughtry,Baptized (Deluxe Version),Wild Heart
Natti Natasha,Criminal,Criminal
Mauricio Rivera,Si la Ves feat. Xantos (feat. Xantos),Si la Ves (feat. Xantos)
Mando,Suéltate,Suéltate
Francisca Valenzuela,Buen Soldado,Qué Sería
Ely Guerra,Rock Millennial,Quiéreme Mucho
Paulina Rubio,Gran City Pop,Ni Rosas Ni Juguetes
Paulina Rubio,"La Música Que Inspiró La Serie Original De Netflix, La Casa De Las Flores",Lo Haré Por Ti
Us The Duo,Us,Never Gonna Leave You
Juan Magán,The King Is Back,He Llorado (Como Un Niño)
BIGBANG,MADE,LOSER
Daddy Yankee,La Rompe Corazones,La Rompe Corazones
COOL JOKE,UNDO -8years later-,UNDO -8years later-
Monsieur Periné,Caja De Música (Edición Especial),Nuestra Canción (feat. Vicente García)
Gabriela Vega,Shaman King,Tamashii Kasanete
Gepe,Ciencia Exacta,Abrir la Puerta
Croni-K,Me da Igual (feat. Yei),Me da Igual (feat. Yei)
Makayla Phillips,「僕のヒーローアカデミア THE MOVIE ヒーローズ:ライジング」オリジナルサウンドトラック,Might⁺U
G-Force Drivers,Can't Stop Dancing (I Just Keep Moving),Can't Stop Dancing
Michael Bublé,Nobody but Me,Someday (feat. Meghan Trainor)
Namie Amuro,Uncontrolled,Fight Together
Joe Vasconcellos,La Joya del Pacífico (En Samba),La Joya del Pacífico - En Samba
#TocoParaVos,Algo más,Algo más
Jazmín Solar,Marilyn Sesión en Vivo,Marilyn Sesión en Vivo
L'Omy,Móntate En El Patín! Vol. 1,Todavía
Renny,Ay Amor (feat. Joey Montana),Ay Amor (feat. Joey Montana)
Masaki Suda,Play,Sayonara Elegy
Fonseca,Por Pura Curiosidad,Por Pura Curiosidad
LISTENBEE,Save Me (feat. Naz Tokio),Save Me (feat. Naz Tokio)
Farruko,Visionary,Never Let You Go (feat. Pitbull)
James Arthur,Back from the Edge,Can I Be Him
FLOW,FLOW the Best Anime Sibari,7 -Seven-
Juan Pablo Vega,El Rincón,El Rincón
Mrs. GREEN APPLE,Mrs. GREEN APPLE,In the Morning
Piso 21,Piso 21,Correr el Riesgo - Remix
Juan Magán,The King Is Back,He Llorado (Como Un Niño)
Adelitas Way,Adelitas Way,Invincible
Hunter Hunted,Ready For You,Ready For You
Robert de Boron,Nostalgic,Carry On
Gondwana,This Is Crucial Reggae,Sentimento Original
Reik,Peligro,Peligro
Manuel Medrano,La Mujer Que Bota Fuego (feat. Natalia Jiménez),La mujer que bota fuego (feat. Natalia Jiménez)
The Chamanas,Fronterizo,Purple Yellow Red and Blue
Los Prisioneros,Pateando Piedras,El Baile de los Que Sobrán
The Natural,Love Overdose,Dance Like Nobody's Watching (feat. Pip Andrew)
Yotuel,Suerte,Suerte
Sanalejo,No lo Hagas,Me Gusta
Coti,Tu Gloria,Tu Gloria
Becky G,Can't Stop Dancin' (feat. J. Balvin),Can't Stop Dancin' (feat. J. Balvin) - J Balvin Remix
La Santa Cecilia,Amar Y Vivir,Como Dios Manda - En Vivo
The Weeknd,Often,Often
Juanes,Loco De Amor,Loco De Amor
Elsa y Elmar,Eres Diamante,Ojos Noche
Masayoshi Yamazaki,ALL SONGS MUST PASS -Office Augusta 20th Anniversary BEST-,"One more time, One more chance"
Los Amigos Invisibles,Commercial,Mentiras
Cecilia Krull,My Life Is Going On (Música Original De La Serie De TV La Casa De Papel / Money Heist),My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist
Lost Frequencies,Are You With Me,Are You with Me - Freejak Radio Edit
J Alvarez,El Movimiento: The Mixtape,Junto al Amanecer (Salsa Version)
Miura Jam,Ame Ga Furu Kara Niji Ga Deru (Nanatsu No Taizai),Ame Ga Furu Kara Niji Ga Deru (Nanatsu No Taizai)
Mi Sobrino Memo,Cuando Fuimos Nada,Cuando Fuimos Nada
Peter Hollens,Budapest,Budapest
The Weeknd,Can’t Feel My Face,Can't Feel My Face
Raon Lee & PelleK,Anime Favorites,"Silhouette (From ""Naruto Shippuden"")"
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Maluma,Corazón,Corazón
aekasora,Simple Things,to reach a person
Sie7e,Relax,A Prueba De Amor
Natalia Lafourcade,Hasta la Raíz,Mi Lugar Favorito
Isaiah,It's Gotta Be You,It's Gotta Be You
Elsa y Elmar,Rey,Planeando el Tiempo
Raon Lee,Gamushara,Gamushara
Rajiv Dhall,Just Can't Let Her Go,Just Can't Let Her Go
Soy Irracional,Más Fuego al Movimiento,Más Fuego al Movimiento
Sebastian Yatra,Como Mirarte (Full Band Version),Como Mirarte (Full Band Version)
CNCO,Quisiera,Quisiera
Carlos Vives,Más + Corazón Profundo Tour: En Vivo Desde la Bahía de Santa Marta,"La Tierra del Olvido (feat. Fanny Lu, Fonseca, Maluma, Andrea Echeverri, Cholo Valderrama, Coral Group & Herencia de Timbiquí) - 2015"
The Score,Oh My Love,Oh My Love
Jade,La Voz Más Dulce del Anime y Comic,Amor Platónico (Ranma 1/2) - De Película
Miss Caffeina,Átomos dispersos,Átomos dispersos
Ves Tal Vez,Ves Tal Vez,Swing a la Diabla
EMPiRE,RiGHT NOW,RiGHT NOW
Gepe,Ciencia Exacta,Hablar de Ti
Shamanes Crew,Antología,Amor De Luto
Marco Mares,La Ola,La Ola
CeeLo Green,Sign Of The Times,Sign of the Times
ZAYN,PILLOWTALK,PILLOWTALK
The Wombats,The Wombats Proudly Present... This Modern Glitch,Tokyo (Vampires & Wolves)
Los Bunkers,Música Libre,El Necio
Sanalejo,Seguir Latiendo,A Paso Lento
Daniela Spalla,Copy Paste,Copy Paste
Piso 21,Ubuntu,Puntos Suspensivos
Sam Smith,In The Lonely Hour,I'm Not The Only One
filous,How Hard I Try (feat. James Hersey),How Hard I Try (feat. James Hersey) - RAC Mix
Migrantes,Suena Migrantes!,Propuesta Indecente
Miranda!,Cálido y Rojo (with Carlos Sadness),Cálido y Rojo (with Carlos Sadness)
Jesse & Joy,Un Besito Más,3 A.M. (feat. Tommy Torres)
Pasabordo,Por Ti,Cantinero
Connell Cruise,Into The Wild,Into The Wild
"Sasha, Benny y Erik",Vuelta al Sol,Una y Mil Veces
Diego Torres,Buena Vida,La Vida Es un Vals
Eleven Past One,The World Is Ours,The World Is Ours
Salomé Anjarí,Zankoku Na Tenshi No Thesis (From Evangelion),Zankoku Na Tenshi No Thesis (From Evangelion)
Nano Stern,La Cosecha,Carnavalito Del Ciempies
Ellie Goulding,Delirium,Something In The Way You Move
Ed Sheeran,÷,Dive
Coti,Días,Días
Alex Goot,Stitches,Stitches
Hozier,Hozier,Take Me to Church
Jade,"Star Talent Anime Concert, Vol. 1",Mikami la Cazafantasmas
OMI,Cheerleader (feat. Nicky Jam),Cheerleader (feat. Nicky Jam) - Felix Jaehn Remix
"Sasha, Benny y Erik",Entre Amigos,Todo Tiene Su Lugar - En Vivo Entre Amigos
Don Omar,King Of Kings 10th Anniversary,Te Quiero Pa´Mi
Franda,Canción de Amor,Canción de Amor
Los Prisioneros,"Musicos, Poetas Y Locos",Estrechez De Corazón
Marama,Vive y Disfruta,Vive Y Disfruta
Silvestre Dangond,Materialista (feat. Nicky Jam),Materialista (feat. Nicky Jam)
Raon Lee,Black Clover Op3 - Black Rover,Black Clover Op3 - Black Rover
Kevin Karla & La Banda,Animales (Remix) [feat. Domac],Animales (Remix) [feat. Domac]
Rio Bossa Trio,Big Girls Don't Cry,Big Girls Don't Cry - Bossanova
Diplo,Be Right There,Be Right There
Jesús Navarro,Quédate Conmigo,Quédate Conmigo
Yandel,Dangerous,Encantadora
Chancho En Piedra,Grandes Exitos De Ayer y Oink!!,El Impostor
Reality,Reality,Reality
Jesse & Joy,Un Besito Más,Dueles
MAX,Love Me Less (feat. Quinn XCII),Love Me Less (feat. Quinn XCII)
VI-EM,Canta,#Canta
Funky,Indestructible,Eres Mi Bendicion (feat. Alex Zurdo)
Dr Velasquez,Tu Volveras,Tu Volveras
BRADIO,POWER OF LIFE,Chocolate Flavor
Phoebe Ryan,Mine EP,Mine (feat. Skizzy Mars) - Michael Keenan Remix
Julieta Venegas,Limon Y Sal,Limón y Sal
Atlas Genius,Molecules,Molecules - Single Version
Axwell /\ Ingrosso,Sun Is Shining,Sun Is Shining
Years & Years,Communion,Ties
Charlie Puth,We Don't Talk Anymore,We Don't Talk Anymore - Lash Remix
Victor Muñoz,Minutos (Edición de Oro),Tu Guardián (Versión Remix Merengue)
Cristian Báez,Déjame Ser,Déjame Ser
Hilary Duff,Breathe In. Breathe Out.,My Kind
Paulino Monroy,Larga Duración,Tú Y Yo Y Ya
Frad,First Date,First Date
Gusi,Tú Tienes Razón - EP,Tú Tienes Razón - Versión Urbana
Chayanne,En Todo Estaré (Deluxe Edition),Madre Tierra (Oye)
Jimmy Cruz,Ábreme Tu Corazón,Darte un Beso (Salsa Version)
KANA-BOON,Time,Silhouette
Reik,Un Dia Mas (Edicion Especial),Inolvidable
Romeo Santos,Golden,Bella y Sensual
W24,Love Me,Love Me
Natalie Taylor,Wildfire,Wildfire
Kenshi Yonezu,Lemon,Lemon
Sublime With Rome,Wherever You Go - Single,Wherever You Go
CD9,Para Siempre (All the Way) (feat. Abraham Mateo),Para Siempre (All the Way) (feat. Abraham Mateo)
RudeManners,The Last Cherry Blossom,The Last Cherry Blossom
Juan Magán,He Llorado (Como Un Niño),He Llorado (Como Un Niño) - Lafame Salsa Rmx
Juan Luis Guerra 4.40,Todo Tiene Su Hora,Muchachita Linda
Soda Stereo,En el Séptimo Día (SEP7IMO DIA),En el Séptimo Día (SEP7IMO DIA)
Coti,Lo Dije Por Boca De Otro,Color Esperanza
Emcidues,Distante - Single,Distante
L'Omy,Móntate En El Patín! Vol. 1,Toda
Sam Smith,In The Lonely Hour,Latch - Acoustic
Wamba,Cómplices,Criminales
Daddy Yankee,Sígueme Y Te Sigo,Sígueme Y Te Sigo
Timeflies,Worse Things Than Love,Worse Things Than Love
The Griswolds,Be Impressive,Beware the Dog
Jean Carlos Canela,Un Mi Sin Ti (feat. Chacal & Yakarta),Un Mi Sin Ti (feat. Chacal & Yakarta)
Sublime With Rome,Sirens,Wherever You Go
Years & Years,Communion,Shine
MisterWives,Our Own House,Box Around The Sun
Klandestinos,En Vivo en Pasión,"Piensa en Mí, Llora por Mí"
AtellaGali,Close To Your Love,Close To Your Love - AtellaGali Vs Vicka Official Remix/Radio Edit
Luis Fonsi,8,Tentación
Vetusta Morla,Mapas,Los Días Raros
Raon Lee,KINNIKUMAN 2 OP 1 - Zil Poong Ka Do,KINNIKUMAN 2 OP 1 - Zil Poong Ka Do - Korean Version
Mau y Ricky,Para Aventuras y Curiosidades,La Boca
Bacilos,Sinverguenza,Porque brillamos
Schuster,We Can Dance,We Can Dance
Jesse & Joy,More Than Amigos,More than amigos - Radio Edit
Years & Years,Worship,Worship
Reik,Ahora,Amigos Con Derechos
Olly Murs,Right Place Right Time (Deluxe),Hey You Beautiful
Obie Bermudez,#Cambios,Vida de Colores
"Sasha, Benny y Erik",Vuelta al Sol,Japi
VI-EM,Canta,Piel Canela - Mambo Version
Mi Sobrino Memo,Mi Desastre Favorito ( モカフラッペ ),Mi Desastre Favorito ( モカフラッペ )
JENCARLOS,Bajito,Bajito - Remix
LAGOS,Reset,Reset
Fancy Reagan,Knock Me Out,Knock Me Out
NateWantsToBattle,"Black Catcher (From ""Black Clover"")","Black Catcher (From ""Black Clover"")"
Paty Cantú,Valiente,Valiente - AtellaGali Remix
Mike Diamondz,Girl I Want You,Girl I Want You - Radio Edit
Nick Bolt,Demonios,Peligroso
Miura Jam,99.9 (Mob Psycho 100 II),99.9 (Mob Psycho 100 II)
Manuel Turizo,Sola,Sola
Escarlata,La Oveja Negra,La Oveja Negra
Mrs. GREEN APPLE,どこかで日は昇る,どこかで日は昇る
Dr. Bellido,La conocí bailando (feat. K-Narias),La conocí bailando (feat. K-Narias) - Radio Edit
kankakupiero,落書きペイジ,落書きペイジ
Kewin Cosmos,Calma,Calma
Peter Breiner,Greatest Movie Classics,Laputa (excerpts) (arr. P. Breiner)
Daniel Huen,Inevitable,Testamento
Christina Grimmie,The Complete Season 6 Collection,Somebody That I Used To Know - The Voice Performance
Kurt Hugo Schneider,Shut Up And Dance,Shut Up And Dance
Ozuna,Odisea,Síguelo Bailando
Glup!,Welcome Polinesia,Enamorado De Ti
Elsa y Elmar,Rey,Exploradora
Miho Fukuhara,Something New,WASABI GREEN
VI-EM,Fuiste un Amor de Verano,Fuiste un Amor de Verano
Lelé,Tiempo de Amar,Tiempo de Amar
Sam Feldt,Show Me Love,Show Me Love
Hello Sleepwalkers,Liquid Soul and Solid Blood,Hyakki Yakou
Motel,Sólo el Amor Lastima Así,Sólo el Amor Lastima Así
Rae Morris,Skin - EP,For You
Estela Martin,All I Want Is You,All I Want Is You
Kat Dahlia,Crazy (Remix) (feat. Gocho),Crazy (Remix) (feat. Gocho)
Alkilados,Pura Playa,Confesión (feat. Pasabordo)
Ana Tijoux,Vengo,Mi Verdad
MAGIC!,Lay You Down Easy (feat. Sean Paul),Lay You Down Easy (feat. Sean Paul)
Jhoni The Voice,Bonita (Down 4 Me Remix) [feat. Kevin Roldan],Bonita (Down 4 Me Remix) [feat. Kevin Roldan]
Lasso,Diferente,Diferente
Joe Vasconcellos,Banzai,Si Te Contara
Masayoshi Yamazaki,ROSE PERIOD,"One more time,One more chance - 1994 DEMO TRACKS Ver."
Jordan,Éxitos del Sound,La Temporera / Te Amaré / De Aky Pa Ya / Y Ahora Regresas - Mix Sound 2
Dread Mar I,En el Sendero,Laberintos
Sonny Alven,Irregular Love,Irregular Love
Sebastian Yatra,My Only One (No Hay Nadie Más),My Only One (No Hay Nadie Más)
Becky G,Sin Pijama,Sin Pijama
Twenty One Pilots,Blurryface,Tear in My Heart
Yuridia,6,Ya Es Muy Tarde
AmaLee,Nostalgia IV,Goya no Machiawase (Noragami)
Adele,Hello,Hello
Goran Bregović,Champagne for Gypsies,Bella Ciao
North of Nine,Can It Be You?,Can It Be You?
Fanny Lu,El Perfume,El Perfume
みゆな,天上天下,天上天下
Reik,Reik,Qué Vida la Mía
La Mosca,La fiesta continúa,En la próxima vida
Los Vasquez,Contigo Pop y Cebolla,Miénteme una Vez
Maldita Nerea,Mira Dentro,"No Pide Tanto, Idiota"
Dread Mar I,En el Sendero,Entre Tus Brazos
Reik,Amigos Con Derechos,Amigos Con Derechos - Versión Pop
Daniela Spalla,Camas Separadas,Insomnio
Coti,Lo Dije Por Boca De Otro,Andar Conmigo
Noel Schajris,Dime (feat. Reik),Dime (feat. Reik)
Yamal and George,Cómo Olvidarte,Cómo olvidarte
Miguel,Coco,Remember Me (Dúo)
Francisca Valenzuela,Tajo Abierto,No Esperen Mi Regreso
Panic! At The Disco,Death of a Bachelor,Death of a Bachelor
The Covers Duo,Anime Openings 1,Butterfly (Digimon)
Agapornis,Agapornis - Volando Con Ritmo,Someone Like You
Bely Basarte,Covers Vol. I,Can't Feel My Face
Danny Fornaris,Anillos de Saturno (feat. Jani Sánchez),Anillos de Saturno (feat. Jani Sánchez)
Pablomora,Lagarto Amarillo,Cuenta Hasta Diez
Joey Montana,Suena El Dembow,Suena El Dembow
Fuera del Resto,Fuera Del Resto,Dime Cuantas Veces
Sonoras Mil,Sonoras Mil,Sereno Desespero
J Boog,See Her Again - Single,See Her Again
Pentatonix,Pentatonix (Deluxe Version),Sing
Salomé Anjarí,Get Along (Los Justicieros Opening),Get Along (Los Justicieros Opening)
Ed Sheeran,Shape of You (feat. Zion & Lennox),Shape of You (feat. Zion & Lennox) - Latin Remix
Miura Jam,Over the Top (One Piece),Over the Top (One Piece)
KAROL G,Tusa,Tusa
AmaLee,Nostalgia VII,"Melissa (From ""Full Metal Alchemist"")"
Chancho En Piedra,La Porcina Comedia: Paraíso,Cóndor - En Vivo Teatro Caupolican (14/08/2012)
Ricardo Silva,"Star Talent Anime Concert, Vol. 1",Cha-La Head Cha-La
Ventino,Apaga Y Vámonos,Apaga Y Vámonos
Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",Call of Silence
Juan Ingaramo,Best Seller,Fuego y Pasión
Caibo,"Te Amo, Te Extraño","Te Amo, Te Extraño"
Aaron Montalvo,Dragon Ball GT,Mi Corazón Encantado
Dave Does Music,Jungle P,Jungle P
MEDUZA,Piece Of Your Heart,Piece Of Your Heart
Tommy Torres,Ven (feat. Gaby Moreno),Ven (feat. Gaby Moreno)
Maldita Nerea,Mucho + Facil,La Respuesta No Es la Huida
Bea Miller,Not An Apology,Fire N Gold
Salta La Banca,Ellos - En El Gran Rex,Ellos - En El Gran Rex
Maroon 5,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B)
BRADIO,FREEDOM,KAMISAMA
Dave Does Music,Believe,Believe
Mike Bahía,Yo Soy,Sola Bonita
Chancho En Piedra,Grandes Exitos De Ayer y Oink!!,Condor
Ed Sheeran,No.6 Collaborations Project,Remember The Name (feat. Eminem & 50 Cent)
Echosmith,Talking Dreams,Cool Kids
The Covers Duo,"Anime Openings 8, Pt. 2",The Biggest Dreamer
Kim,I'm in Love,I'm in Love
Years & Years,If You're Over Me,If You're Over Me
Anime Project,Anison Box Vol.18,Harukaze
Panama Band,Orquestas de Galicia,Mi Primer Millón
Meteoros,Meteoros,Decirnos la Verdad
WALK THE MOON,What If Nothing,One Foot
Ximena Sariñana,No todo lo puedes dar,La Vida No Es Fácil
Treo,Te He Prometido,Te He Prometido
Felipe Peláez,Vivo Pensando En Ti (feat. Maluma),Vivo Pensando En Ti (feat. Maluma)
Jason Derulo,Want to Want Me,Want to Want Me
AmaLee,Red Swan,Red Swan
Andres De Leon,Como Empezar de Nuevo,Para Encontrarte
Dave Does Music,Over The Top,Over The Top
Laharl Square,"Zen Zen Zense (From ""Kimi no Na Wa"")","Zen Zen Zense (From ""Kimi no Na Wa"")"
Salta La Banca,¡Eureka!,Faquir
Ellie Goulding,Sixteen,Sixteen
Joe Vasconcellos,Mágico: El Recital (En Vivo),La Joya del Pacífico - En Vivo
Redfoo,Where The Sun Goes (feat. Stevie Wonder),Where The Sun Goes (feat. Stevie Wonder)
Olly Murs,Wrapped Up (feat. Travie McCoy),Wrapped Up (feat. Travie McCoy)
Tisuby,Mi Otra Mitad,Mi Otra Mitad
"Sasha, Benny y Erik",Japi (feat. Edwin Luna y la Trakalosa),Japi (feat. Edwin Luna y la Trakalosa) - Versión Banda
Tinie Tempah,Not Letting Go (feat. Jess Glynne),Not Letting Go (feat. Jess Glynne)
Fifth Harmony,I'm In Love With a Monster,I'm In Love With a Monster
Prince Royce,Deja vu,Deja vu
UVERworld,Odd future,Odd future
James Bay,Chaos And The Calm,Move Together
L'Omy,Pa' Que La Metas En El iPod!,Suerte (Remix) [feat. Magnate & Valentino]
Maldita Nerea,Mira Dentro,El Secreto de las Tortugas - Version 2010
Ariana Grande,Dangerous Woman,Dangerous Woman
Audien,Daydreams,Monaco
AU-D,"El Degenerado, Pt. 1",En Donde Te Duele
Issac Delgado,Latino 59 presenta: Bailando,Bailando - Official Salsa Version
Belanova,Cásate Conmigo,Cásate Conmigo
Shayne Orok,"Black Catcher (From ""Black Clover"")","Black Catcher (From ""Black Clover"")"
AmaLee,Asphyxia,Asphyxia
Mike Bahía,Tarde - Single,Tarde
Jessica Sanchez,This Love,This Love
Yoan Amor & Team Impacto,Yo No Se Mañana,Yo No Se Mañana
Los Bonnitos,Dame la Mano,Algo Más
Juan Solo,Ni Solo Ni Mal Acompañado,Contigo Puedo Ser Quien Soy
SafetySuit,Looking Up,Looking Up
Daughtry,Daughtry,Over You
El Potro,Como Yo Te Quiero (feat. Yandel),Como Yo Te Quiero (feat. Yandel)
Vickeblanka,ウララ,Black Rover
Marshmello,FRIENDS,FRIENDS
Lizz Robinett,Red Swan,Red Swan
Daniela Spalla,Si Te Alejas,Si Te Alejas
Paty Cantú,"Amor, Amor, Amor","Amor, Amor, Amor"
Los Abuelos De La Nada,Abuelos 1982 / 1987,Mil Horas
Coti,Lo Dije Por Boca De Otro,Algo Está Cambiando
Anly,Anly One,Karano Kokoro
Periko & Jessi Leon,Me Vuelvo Loco,Me Vuelvo Loco
Shawn Mendes,I Know What You Did Last Summer,I Know What You Did Last Summer
Sergio Mayer Mori,Green Eyes,Green Eyes
Alkilados,El Orgullo,El Orgullo
Leona Lewis,I Am,Thunder
Halsey,Hold Me Down,Hold Me Down
Cesar Franco,"Star Talent Anime Concert, Vol. 1",El Gran Soñador
Adrian Mesu,It's Gonna Be,It's Gonna Be (feat. Diana Francesco) - Radio Edit
SCANDAL,Scandal,Shoujyo S
Termosismicos,"Anime Song's, Vol. 1 - EP",Mi corazon encantado
Alx Veliz,Dancing Kizomba,Dancing Kizomba - Spanish Version
Las Alas,Tusa,Tusa
Jayn,Seasons Die One After Another (Acoustic),Seasons Die One After Another (Acoustic)
Theishter,Watashi No Uso (Your Lie in April Original Soundtrack),Watashi No Uso (Your Lie in April Original Soundtrack)
Salta La Banca,¡Eureka!,Unos Versos
Aleks Syntek,Tan Cerquita / So Close (with Cristian Castro),Tan Cerquita (with Cristian Castro) - Radio Single Edit
Agapornis,AGP en Fiesta,Melodía de Dios (En Vivo)
