tracks/artist,tracks/album,tracks/track
Vickeblanka,Black Catcher,Black Catcher
Shawn Mendes,Treat You Better,Treat You Better
FLETCHER,Live Young Die Free,Live Young Die Free
Carly Rae Jepsen,Emotion,When I Needed You
Cloudjumper,Jet Set Run,Jet Set Run - Orchestral Arrangement
Morenito De Fuego,Venta De Garage,Maldición Gitana (feat. Jonaz Gzz & Danny Fornaris)
Nikki Mackliff,Ya No Puedo Amarte,Ya No Puedo Amarte
Christian Pagán,La Amiga Mía,La Amiga Mía
Gabriel Pagan,Pom Pom,Pom Pom
Prince Royce,Double Vision,Back It Up (feat. Jennifer Lopez & Pitbull) - Video Version
Paula Rojo,Creer Para Ver,Miedo A Querer
Mrs. GREEN APPLE,サママ・フェスティバル!,サママ・フェスティバル!
Efya,Janesis,Heartbeat
Ne-Yo,Year Of The Gentleman,Miss Independent
Hailee Steinfeld,Love Myself,Love Myself
Ricardo Silva,Música de las Sagas de Dragón Ball,"La Fantastica Aventura (Opening ""Dragón Ball"")"
INNA,Bop Bop (feat. Eric Turner),Bop Bop (feat. Eric Turner)
Ricardo Silva,"Star Talent Anime Concert, Vol. 1",Impacto Rojo
Wisin,Escápate Conmigo,Escápate Conmigo
Alex Goot,Sorry,Sorry
Beatriz Luengo,Bela Y Sus Moskitas Muertas (Deluxe Edition),Ley De Newton (feat. Jesús Navarro) - Bachata Version
The Chainsmokers,Collage EP,Setting Fires
Michirutopia,"I Wish ADAMAS (From ""Digimon Adventure Tri & Sword Art Online: Alicization"")","I Wish (From ""Digimon Adventure Tri."") [Versión Latino / Japonés]"
Outasight,The Wild Life,The Wild Life
Jess Glynne,Hold My Hand,Hold My Hand
Gente De Zona,Traidora,Traidora
Major Lazer,Lean On (feat. MØ & DJ Snake),Lean On (feat. MØ & DJ Snake) - J Balvin & Farruko Remix
ChocQuibTown,El Mismo,Cuando Te Veo - Salsa Version
Motel,Motel,Dime ven - Live
Los Mesoneros,Pangea,Exprópiese
The Young Wild,Not a One,Not a One
Carlos Vives,La Bicicleta,La Bicicleta
Pentatonix,"PTX, Vol. III",Rather Be
FictionJunction,From the Edge (feat. LiSA),From the Edge (feat. LiSA)
Los Enanitos Verdes,Big Bang,Lamento Boliviano
Elle King,Love Stuff,Ex's & Oh's
COIN,COIN,Atlas
Ed Sheeran,÷,New Man
Kalimba,Cena para Desayunar,Juntos Caminando (feat. Vero de la Garza)
Bruno Mars,24K Magic,Finesse
Miura Jam,"Dan Dan Kokoro Hikareteku (From ""Dragon Ball GT"")","Dan Dan Kokoro Hikareteku (From ""Dragon Ball GT"")"
CNCO,CNCO,Bonita
JCMBL,The Nightlife EP,Im Not The Only One - JCMBL Remix
Mando,Ven Báilala,Ya No Estoy
Pasabordo,Paso a Paso,Quisiera
Marama,Baila Nena,Una Noche Contigo
Meteoros,Meteoros,No Me Acuerdo de Nada
Matisse,Cuando Te Encontré,Cuando Te Encontré
Afrojack,SummerThing!,SummerThing!
Los Bonnitos,Dame la Mano,Fantasmas
D-51,Mitsuyoko Ichimura,Brand New World
Reyno,Camino A Marte,Dualidad
Elefante,El Que Busca Encuentra,De la Noche a la Mañana
#TocoParaVos,Hasta la Luna,Hasta la Luna
John Diaz,Sorry,Sorry - Remix
L'Omy,Móntate En El Patín! Vol. 1,Di Que Sí (Versión Funk)
Daniel Huen,Baila,Baila
LiSA,Gurenge,Gurenge
Migrantes,Suena Migrantes!,Hasta la Luna
Ricky Furiati,Mientras Tú Me Quieras,Mientras Tú Me Quieras
Moonlight,Lets Get This Loud!,Lets Get This Loud!
Laharl Square,"Black Catcher (From ""Black Clover"")","Black Catcher (From ""Black Clover"")"
Mike Perry,The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin)
AmaLee,"Gurenge (From ""Demon Slayer"")","Gurenge (From ""Demon Slayer"")"
Lenny Tavárez,Fantasias,Fantasias
SOJA,Vive Latino XVI Años 2015 (XVI Festival Iberoamericano de Cultura Musical),I Believe
Forever in Your Mind,Sweet Little Something,Sweet Little Something
Imagine Dragons,Smoke + Mirrors,Shots - Broiler Remix
Paulina Rubio,Paulina,Yo No Soy Esa Mujer
Mariel Mariel,Foto Pa Ti,Los Bajos Vibran En Mi Pecho
Lawson,Roads,Roads
Alkilados,Magdalena Remix,Magdalena Remix
Mati Gómez,Yo No Sé,Yo No Sé - Remix
Daniela Spalla,Te Veo A La Salida,Te Veo A La Salida
Ana Victoria,Beso De Consolación,Beso De Consolación
Sara Bareilles,The Blessed Unrest,Satellite Call
CD9,EVOLUTION,I Feel Alive - Spanish Version
Mike Bahía,La Muñeca,La Muñeca
AmaLee,Nostalgia IV,Pray (Gintama)
MisterWives,Connect The Dots,Chasing This
Gepe,TKM,TKM
Camilo Séptimo,Navegantes,Contacto
Fonseca,Conexión,Entre Mi Vida y la Tuya
Piso 21,Quítate la Pena,Quítate la Pena
Young Killer,Sintiéndote,Sintiéndote
Kurt Hugo Schneider,Cold Water,Cold Water
Alkilados,Colombo Old School,Sola (Remix) [B-Side] (feat. Kevin Roldan)
Panic! At The Disco,Death of a Bachelor,Emperor's New Clothes
Pedropiedra,Pedropiedra (Reedición),Sol Mayor
CHVRCHES,Every Open Eye,Leave A Trace
Florida Georgia Line,Anything Goes,Sun Daze
Panic! At The Disco,Death of a Bachelor,House of Memories
Paulina Rubio,Nino Bravo. 40 Años Con Nino,Un Beso Y Una Flor
Roman Scott,Roman Scott - EP,Hold This Down (feat. Dean Curtis)
"Tito ""El Bambino""",It's My Time,"Sol, Playa Y Arena"
Juan Magán,He Llorado (Como Un Niño),He Llorado (Como Un Niño) - Lafame Salsa Rmx
MisterWives,Our Own House,Our Own House
OMI,Hula Hoop,Hula Hoop
Charles Perry,Stranger To Love,Stranger To Love
Christian Pagán,Bandida,Bandida
Daya,Daya,Hide Away
Alex Newell,Nobody To Love,Nobody to Love
Enio La Formula,Hot Salsa 2016,Travesuras - Salsa Version
Nano Stern,Voy Y Vuelvo,Casualidad
Coleman Hell,Take Me Up,Take Me Up
BIP,Merengue Plancha,La Maldita Primavera
AmaLee,Nostalgia,Cruel Angel's Thesis (Neon Genesis Evangelion)
Noche de Brujas,Vivir Sin Tu Amor,"Te amo, para siempre"
Guelo Deluxe,Olvidaré,Lo Cambiaste Todo
BRADIO,FREEDOM,Revolution
Jason Mraz,We Sing. We Dance. We Steal Things.,Butterfly
VI-EM,Canta,Piel Canela
Mon Laferte,La Trenza,Primaveral
Maldita Nerea,Es un Secreto...No Se Lo Digas a Nadie,El Secreto de las Tortugas
Gepe,Ciencia Exacta,Solo
Chino & Nacho,Andas En Mi Cabeza,Andas En Mi Cabeza
State of Sound,Wake Up Where You Are,Wake Up Where You Are
The Kite String Tangle,Vessel,Arcadia
Mon Laferte,La Trenza,Cielito De Abril
Chino & Nacho,Me Voy Enamorando,Me Voy Enamorando - Remix
Meteoros,Meteoros,No Hay Tiempo
Marama,Todo Comenzó Bailando,Noche Loca
Mrs. GREEN APPLE,Variety,StaRt
Penguin Prison,Lost in New York,Calling Out
Caramelos De Cianuro,8,Secreto
Carlos Vives,Volví a Nacer (feat. Maluma),Volví a Nacer (feat. Maluma)
Goldroom,It's Like You Never Went Away,Embrace
Dear Frederic,Outlast,Outlast - Tork Remix
Sabino,La Vida Es una Movie,La Vida Es una Movie
Bonny Lovy,Reina de Paris,Reina de Paris
Bang Bang Land,Somebody Better,Somebody Better
Anime Project,Anison Box Vol.4,Fight Together
Ezio Oliva,Siempre Has Sido Tu,Siempre Has Sido Tu
Tony Lenta,Pa'lante - Single,Pa'lante
Malacates Trebol Shop,Preciosa,Preciosa
Of Monsters and Men,Beneath The Skin,Empire
kankakupiero,#HAL,ハルカミライ
Axel,Ser,Que Nos Animemos (feat. Becky G)
Daniela Spalla,Rock Millennial,Pinamar
Florence + The Machine,Jenny of Oldstones (Game of Thrones),Jenny of Oldstones (Game of Thrones)
Pasabordo,Pasabordo,La Cura
Rudimental,We the Generation,Lay It All on Me (feat. Ed Sheeran)
WALK THE MOON,What If Nothing,Feels Good To Be High
Manu Pilas,Bella Ciao (Música Original de la Serie la Casa de Papel/ Money Heist),Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist
Soda Stereo,Me Verás Volver (Hits & Más),Persiana Americana - Remasterizado 2007
Hedley,Wild Life,Crazy For You
Sebastian Yatra,Un Año,Un Año
Los Vasquez,Contigo Pop y Cebolla,Tú Me Hacas Falta
Neon Trees,Used To Like,Used To Like
AmaLee,Nostalgia V,Silhouette
John Newman,Come And Get It,Come And Get It
"Sasha, Benny y Erik",Vuelta al Sol,Punto de Partida
Luis Fonsi,8,Llegaste Tú
The Vamps,Wake Up,Wake Up
Mike Bahía,Déjame,Déjame
Taylor Phelan,Sweater Weather,Sweater Weather - The Voice Performance
Maroon 5,Cold,Cold
Roy Aguado,Tiger,Quién Te Crees
Kevin Roldan,Kevin Roldan (Special Edition),Si No Te Enamoras
Los Ajenos,Aprétame (feat. Ale Mendoza),Aprétame (feat. Ale Mendoza)
Beto Cuevas,Aquí (feat. María José),Aquí (feat. María José)
Daddy Yankee,Dura,Dura
Pedropiedra,Hipnotizada,Hipnotizada
Geek Music,La Casa De Papel (Money Heist) - My Life Is Going On - Main Theme,La Casa De Papel (Money Heist) - My Life Is Going On - Main Theme
Gallant,Weight In Gold,Weight In Gold
Sebastian Yatra,Traicionera,Traicionera
Kenshi Yonezu,Bootleg,Loser
Los Verduleros,Sin Tu Amor,Sin Tu Amor
Felix Jaehn,Ain't Nobody (Loves Me Better),Ain't Nobody (Loves Me Better)
Alkilados,Pura Playa,Respira
Seiko Oomori,JUSTadICE,JUSTadICE
Silvina Moreno,Sofá,La Despedida
Daddy Yankee,Que Tire Pa Lante,Que Tire Pa Lante
Salta La Banca,¡Eureka!,Unos Versos
Morrigans,Infinito,El infinito más allá
Agapornis,Agapornis - Volando Con Ritmo,Tratar De Estar Mejor
gnash,us,"i hate u, i love u (feat. olivia o'brien)"
Jorge Drexler,Sea,Me haces bien
Dave Does Music,Super Powers,Super Powers
Famasloop,Allí Estás,Allí Estás
Daniela Spalla,Ahora vienen por nosotros,Para nadie
Love of Lesbian,Manifiesto delirista,Manifiesto delirista
The Wombats,The Wombats Proudly Present... This Modern Glitch,1996
Grizfolk,From The Spark,Hymnals
Mägo de Oz,"Hechizos, pócimas y brujería",El libro de las sombras
Dominic Fike,"Don't Forget About Me, Demos",3 Nights
Tony Dize,"La Melodía de la Calle, 3rd Season",Duele el Amor
BoA,No Matter What,No Matter What
Karen Olivier,Lo Que Soñé,Quiero Besarte
FRANKIE,Dreamstate,Problems Problems
MisterWives,Reflections,Reflections
CNCO,Primera Cita,Para Enamorarte
Alkilados,Pura Playa,De Excursión
Luny Tunes,Mayor Que Yo 3,Mayor Que Yo 3
Piso 21,Besándote (feat. Anne-Marie),Besándote (feat. Anne-Marie) - Remix
Dave Does Music,Brand New World,Brand New World
Marlon,Haz conmigo lo que quieras,Haz conmigo lo que quieras
Los 4,Los Exitos,Tu de Que Vas
Alkilados,Me Ignoras - Single,Me Ignoras
Luis Enrique,Super Salsa 2010,Yo No Se Mañana
Grupo Extra,Bachata Exitos 2016,Te Vas
Jess Glynne,Ain't Got Far to Go,Ain't Got Far to Go
Rombai,Que Rico Baila,Que Rico Baila
Ana Tijoux,1977,1977
Muray,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2,Share The World (第395話〜425話 OP)
Paramore,After Laughter,Pool
Rombai,Curiosidad,Curiosidad
Alex Begun,Sólo Contigo,Caso Perdido
MiC LOWRY,Oh Lord,Oh Lord
Kobasolo,KOBASOLO,Full power hero
The Covers Duo,Anime 10,Black Catcher
Agapornis,Agapornis - Volando Con Ritmo,Corre
CNCO,Primera Cita,Reggaetón Lento (Bailemos)
Jesse & Joy,Un Besito Más,¡Ay doctor!
La Nueva Banda Timbiriche,La Nueva Banda Timbiriche,"Tú,Tú,Tú"
JFab & Paola Fabre,Mia (Bachata Version),Mia (Bachata Version)
Villa Cariño,La Fiesta es de Nosotros,Serenata cruel
Daniela Spalla,Ahora vienen por nosotros,Arruinármelo
Charlie Puth,Some Type of Love,Some Type of Love
MisterWives,Oh Love,Oh Love
L'Omy,Móntate En El Patín! Vol. 1,Otra Cinta
Juanes,Querer Mejor,Querer Mejor
Reik,Des/Amor,Qué Gano Olvidándote
Chino & Nacho,Mi Niña Bonita - Reloaded,Tu Angelito
The Mills,Instinto (Dani 3palacios Remix),Instinto - Dani 3palacios Remix
Salo,Noche de Bodas,Noche de Bodas
Entrelineas,Se Siente Bien,Se Siente Bien
Gepe,Gp,En La Naturaleza (4-3-2-1-0) [feat. Pedropiedra]
Mando,Decirle Adiós,Decirle Adiós
Jonas Brothers,Sucker,Sucker
Randy & Sam,Lo Mejor del Reggaetón Romántico,Te Regalo Amores
Pentatonix,"PTX, Vol. III",La La Latch
Daniel Betancourth,Tus Colores,Tus Colores
Pontus Rasmusson,"Hold On, We're Going Home - Single","Hold On, We're Going Home"
Maluma,"Pretty Boy, Dirty Boy",Borro Cassette
Pasabordo,Paso a Paso,Te Quiero Amar
J Balvin,Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé)
Lauv,The Other,The Other
Marlon,Todo va a ir bien,Todo va a ir bien
Lalo Monte,Pense Que Te Olvide,Pense Que Te Olvide
Grillo Matto,Indestructible,Indestructible
Carlos Baute,Ando buscando (feat. Piso 21),Ando buscando (feat. Piso 21)
NateWantsToBattle,Seven Deadly Sins,Seven Deadly Sins
Fujifabric,Golden Time,Golden Time
Los Mesoneros,Pangea,Dime Como Tú Quieras
Ed Sheeran,÷,Galway Girl
Jesse & Joy,Jesse & Joy,Run
NateWantsToBattle,Odd Future,Odd Future
Nico & Vinz,That's How You Know (feat. Kid Ink & Bebe Rexha),That's How You Know (feat. Kid Ink & Bebe Rexha)
Alkilados,Respira (Club Mix Version),Respira - Club Mix Version
Shawn Hook,Sound Of Your Heart,Sound Of Your Heart
Elsa y Elmar,Grecia,Grecia
Mon Laferte,Tornasol,Tornasol
Elsa y Elmar,Eres Diamante,"Culpa, Tengo"
Childish Gambino,Summer Pack,Summertime Magic
Shayne Orok,Veil (Fire Force),Veil (Fire Force)
Linked Horizon,Shingeki no Kiseki,Guren no Yumiya
WALK THE MOON,TALKING IS HARD,Shut Up and Dance
Andy Grammer,Magazines Or Novels,"Honey, I'm Good."
Los Pericos,Soundamerica,Anónimos (feat. Carla Morrison)
Olly Murs,Right Place Right Time (Deluxe),Cry Your Heart Out
NIHILS,Help Our Souls,Help Our Souls
Wolfside,Lobo I,Dream Girl
Mon Laferte,La Trenza,Ana
AmaLee,Nostalgia V,Believe in Myself
Natalia Lafourcade,Hasta la Raíz,Hasta la Raíz - Canova's Root Version
OMI,Cheerleader (Remixes),Cheerleader
Fuego,Una Vaina Loca (Official Remix),Una Vaina Loca - Official Remix
Mike Posner,The Truth,I Took A Pill In Ibiza - Seeb Remix
Little Jesus,Río Salvaje,TQM
Xuso Jones,Vuela,Somos
The Weeknd,Starboy,I Feel It Coming
Gente De Zona,Visualízate,Traidora (feat. Marc Anthony) - Salsa Version
DNCE,SWAAY,Cake By The Ocean
AmaLee,"Might+U (from ""My Hero Academia"")","Might+U (from ""My Hero Academia"")"
Vitaa,Just me myself & moi-même,Bella ciao
Victor Drija,Romance Dance,Tu Caballero
Daddy Yankee,Adictiva,Adictiva
Proyecto Uno,Beautiful Lady,Beautiful Lady
La Ley,Retour,Olvidar
Francisca La Braza,Francisca La Braza,Batida do Amor
The Mowgli's,Kids In Love,I'm Good
Lucas Arnau,Buen Camino,De La Mano (feat. Minek)
Marissa Mur,Arráncame,Arráncame
Mr. Paradise,Forastero,Forastero
Maldita Nerea,Bailarina,Bailarina
Los Prisioneros,Coleccion Suprema,Tren Al Sur
Karl Wolf,WOW,Not Over Me Yet
Alvaro Soler,Sofia,Sofia
Maluma,11:11,Te Quiero
Juanes,La Plata,La Plata (feat. Lalo Ebratt)
AmaLee,Nostalgia IV,We Are! (One Piece)
Feid,Morena,Morena
Pol Sebastian,Las Mejores Canciones del Pop Rock Romántico en Español. Lo Mejor de la Música Romántica de los Años 90's y 2000's,Por un Beso de la Flaca
Chayanne,En Todo Estaré (Deluxe Edition),Humanos a Marte
Major Lazer,Cold Water,Cold Water
El Clubo,Diez,Descarado
Trebles and Blues,The Blue Note,An Evening in Osaka
ShiroNeko,"Black Catcher (From ""Black Clover"")","Black Catcher (From ""Black Clover"")"
Clean Bandit,New Eyes,Rather Be (feat. Jess Glynne)
CNCO,Primera Cita,Primera Cita
The Sam Willows,Spotify Sessions,Take Heart - Spotify Sessions
Fitz and The Tantrums,More Than Just a Dream,Fools Gold
Naughty Boy,Home,Home - Fedde Le Grand Radio Edit
Los Prisioneros,"Musicos, Poetas Y Locos",La Voz De Los '80
ALL OFF,Refrain Boy,Refrain Boy - English Version
Alex Aiono,Young & Foolish,Young & Foolish
KURT,La Mujer Perfecta,La Mujer Perfecta
The Weeknd,Often,Often
Pusho,La Realidad (Remix),La Realidad (Remix)
Don Omar,Don Omar Presents MTO2: New Generation,Dutty Love
Jesse & Joy,Tanto,Tanto
The Covers Duo,Senbonzakura,Senbonzakura
DNCE,SWAAY,Toothbrush
Maná,Rayando El Sol (feat. Pablo Alborán),Rayando El Sol (feat. Pablo Alborán)
BRADIO,FREEDOM,Back To The Funk
Temple Sour,Te Gustó,Te Gustó
Taichi Mukai,PURE,リセット
Adrian Barba,"Brave Heart (From ""Digimon Adventure"")","Brave Heart (From ""Digimon Adventure"")"
Los Mesoneros,Caiga la Noche,Solo
Shakira,Chantaje (feat. Maluma),Chantaje (feat. Maluma) - Versión Salsa
Coti,Que Esperas,50 Horas
biosphere,strangers,strangers
Mendez,Fiesta (House Party),Fiesta (House Party) - Cottage Mix
Rombai,Segundas Intenciones,Segundas Intenciones
GALNERYUS,HUNTING FOR YOUR DREAM (TYPE-A),departure!
Pedrina y Rio,Canciones sin ropa,Serás
Olly Murs,Right Place Right Time (Deluxe),Army of Two
Zion & Lennox,Ganas de Ti,Ganas de Ti
Family of the Year,Loma Vista,Hero
Marama,Nena,Nena
Consuelo Schuster,Caminante,Por Qué Te Vas
Julieta Venegas,Limon Y Sal,Me Voy
SymaG,三途ノ川,アウトサイダー
Jarabe De Palo,La Flaca - Edición 10º Aniversario,La flaca
The Covers Duo,Anime Openings / Endings 7,Again
Nicolas Mayorca,Corazón de Cartón - Remix,Corazón de Cartón - Remix
Ana Tijoux,La Bala,Shock
Mon Laferte,"La Música Que Inspiró La Serie Original De Netflix, La Casa De Las Flores",Tormento
Nicky Jam,El Perdón,El Perdón - Forgiveness
Lacandona Social Sound,No Hay Tregua,Avanza
Armin van Buuren,Another You,Another You
Kygo,Sexual Healing,Sexual Healing - Kygo Radio Edit
Animelmack,Get Along (Slayers),Get Along (Slayers)
CNCO,Hey DJ,Hey DJ
La Ley,Retour,El Duelo
Coti,Que Esperas,Profundidad
Banda El Recodo,Mi Vicio Más Grande,Las Fresas - Version Urban
Alexis y Fido,Piden Perreo... Lo Más Duro (Deluxe Edition),5 Letras
Jade,"Star Talent Anime Concert, Vol. 1",Olvida la Amargura
Morrigans,Infinito,Salitre
JENCARLOS,Por Algo Será,Por Algo Será
Feel The Weekend,Can't Feel My Face,Can't Feel My Face
PANDA,Amantes Sunt Amentes,Procedimientos para Llegar a un Común Acuerdo
Dvicio,Justo Ahora,Enamorate
Morat,"Yo Contigo, Tú Conmigo","Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito"""
Colins,Aviones de Papel,Aviones de Papel
Isa Mebarak,Cosa Buena,Ni Te Vistas Que No Vas
Dani J,Pobre diablo (feat. David Parejo),Pobre diablo (feat. David Parejo) - Radio Edit
Leslie Grace,Duro y Suave,Duro y Suave
Tom & Collins,Malo,Malo
Caloncho,PA,Bolita De Pan
NerdBallerTV,Blue (feat. J-Hype),Blue (feat. J-Hype)
The Queen & King,Where Are Ü Now,Where Are Ü Now
Marc E. Bassy,Groovy People,You & Me
Animelmack,Butterfly (Digimon Tri),Butterfly (Digimon Tri)
Manel Navarro,Do It for Your Lover,Do It for Your Lover - Eurovision 2017
Panic! At The Disco,Death of a Bachelor,Victorious
A Cámara Lenta,Bendita Locura,De Ocho y Cuarto Hasta las Diez
Chancho En Piedra,Funkybarítico Hedónico Fantástico,Tren a la Luna
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),DUELE EL CORAZON (feat. Wisin)
Clean Bandit,Tears (feat. Louisa Johnson),Tears (feat. Louisa Johnson)
Daniel Huen,Olas del Mar - Single,Olas del Mar
PelleK,"Covers, Vol. 29","Hikaru Nara (From ""Your Lie in April"")"
Jorge Domínguez,La Vecina (Music From The Original TV Series),Ella Es
Los Prisioneros,"Musicos, Poetas Y Locos",Por Qué No Se Van
Justin Bieber,What Do You Mean?,What Do You Mean?
BYNON,Hey Hey,Hey Hey
Ariana Grande,My Everything,One Last Time
BRADIO,LA PA PARADISE,LA PA PARADISE
Reykon,Imaginándote (feat. Daddy Yankee),Imaginándote (feat. Daddy Yankee)
Jim Adkins,I Will Go,Girls Just Want To Have Fun
Charliepapa,Y/O,Merlina
THE RAMPAGE from EXILE TRIBE,THROW YA FIST,DOWN BY LAW
Cesar Franco,"Star Talent Anime Concert, Vol. 1",Mariposa
Wamba,Cómplices,Desapareces
Pachará,Espiritual,Espiritual
3年E組うた担(渚&茅野&業&磯貝&前原),バイバイ YESTERDAY,バイバイ YESTERDAY
Ce'Cile,Major Riddim (Don Corleon Presents),Take My Heart
Zion & Lennox,Pierdo la Cabeza,Pierdo la Cabeza
Noche de Brujas,El Sueño de Todos,Rey Arturo
Maikel Delacalle,Replay,Replay
Los Bonnitos,Sigamos Bailando,Cae el Sol
Pentatonix,Pentatonix (Deluxe Version),Cheerleader
Kevin Roldan,The Beginning,Una Noche Más
Miura Jam,Stories (Black Clover),Stories (Black Clover)
Mœnia,FM,Morir Tres Veces
Chancho En Piedra,Grandes Exitos De Ayer y Oink!!,Volantín
Reik,Reik,Yo Quisiera
Jade,La Voz Más Dulce del Anime y Comic,Pegasus Fantasy (Los Caballeros del Zodiaco Omega) - De Película
Mane de la Parra,Me Gusta (feat. Jorge Villamizar),Me Gusta (feat. Jorge Villamizar)
Night Tempo,杏里 - Night Tempo presents ザ・昭和グルーヴ,Lady Sunshine (Night Tempo Showa Groove Mix)
Jon Bellion,All Time Low,All Time Low
Jonas Blue,Fast Car,Fast Car
Tsuyu,Aniway Vol.2,Renai Circulation
NateWantsToBattle,99.9,99.9
Cato Anaya,Sinner (Radio Edit) (feat. Adam Joseph),Sinner (Radio Edit) (feat. Adam Joseph)
Reik,Des/Amor,Vámonos Lejos
Yellow Mellow,Phantom Limb,Phantom Limb
Carlos Vives,Robarte un Beso,Robarte un Beso
CNCO,Primera Cita,No Entiendo
Rombai,De Fiesta,Curiosidad
Justin Bieber,Purpose,Love Yourself
Mone Kamishiraishi,chouchou,なんでもないや - movie ver.
Joey Montana,Moribundo,Moribundo
Rombai,Adiós,Adiós
Piso 21,Suele Suceder,Suele Suceder - Remix
PelleK,"Covers, Vol. 32",Guren No Yumia (Spanish Version)
The Covers Duo,Anime Openings 1,Cha-La Head Cha-La (DBZ)
Rawayana,Vengase II,Vengase II
Jota Y Leo,Eres,Eres
Namie Amuro,Finally,Hope
Playa Limbo,De Días y de Noches (En Vivo),Piérdeme el Respeto - En Vivo [Centro Cultural Roberto Cantoral]
Diego Boneta,Ur Love,Ur Love
Pipe Bueno,La Invitación (feat. Maluma),La Invitación (feat. Maluma)
Gepe,Un Amor Violento,Un Amor Violento
Raon Lee,Veil,Veil
Mrs. GREEN APPLE,インフェルノ,インフェルノ
AmaLee,"Polaris (From ""My Hero Academia"")","Polaris (From ""My Hero Academia"")"
Mrs. GREEN APPLE,TWELVE,Speaking
The Young Professionals,Remixes & Covers,All Of It But Me
El Tambor De La Tribu,Prendido a Ti,Prendido a Ti
"Sasha, Benny y Erik",Primera Fila Sasha Benny Erik,Como Hemos Cambiado - Primera Fila
Barack Obama,Clarify: Get Out the Vote,A Reminder to Vote from the President
Alan,Mi Realidad,Prendiendo fuego
Mirella Cesa,A Besos (Acoustic Version),A Besos (Acoustic Version)
Anime Project,Anison Box Vol.7,Hotaruno Hikari
Pasabordo,Brindo por Ella,Brindo por Ella
EGOIST,Extra Terrestrial Biological Entities,Departures - Anata Ni Okuru Ai No Uta
BoA,WHO'S BACK?,MASAYUME CHASING
Cesar Franco,Mi Corazon Encantado,Mi Corazon Encantado
R5,Sometime Last Night,F.E.E.L.G.O.O.D.
Animelmack,Brave Heart (Digimon),Brave Heart (Digimon)
Elsa y Elmar,Ojos Noche,Ojos Noche
High Dive Heart,Vintage,Vintage
Tan Bionica,Hola Mundo,Hola Mi Vida
Shakira,Clandestino,Clandestino
Izaak,Solo Sueños,Solo Sueños
Kid Astray,Home Before the Dark (Deluxe Version),Diver
Felipe Santos,No me dejes así,No me dejes así (feat. Cali y El Dandee)
Years & Years,Real,Real
Duzan,Solo Tú,Me gusta todo de ti
Coti,Que Esperas,Días
Benjamín Amadeo,Te Imaginé,Te Imaginé
Cecilia Krull,"My Life Is Going On (Cecilia Krull vs. Gavin Moss) [Música Original de la Serie de TV ""La Casa de Papel""]","My Life Is Going On (Cecilia Krull vs. Gavin Moss) [Música Original de la Serie de TV ""La Casa de Papel""]"
Mc Brow,Legado,Esto Es Amor
Daniela Spalla,Pinamar,Pinamar
Los Mesoneros,Pangea,Prefiero No Saber
Carly Rae Jepsen,Run Away With Me,Run Away With Me
Alex Sparrow,She's Crazy but She's Mine,She's Crazy but She's Mine
Megan Davies,"See You Again, Love Me Like You Do, Sugar","See You Again, Love Me Like You Do, Sugar - Acoustic Mashup"
AmaLee,Nostalgia IV,Rolling Star (Bleach)
AmaLee,"Glassy Sky (From ""Tokyo Ghoul"")","Glassy Sky (From ""Tokyo Ghoul"")"
