,artist,album,song_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness
0,Porta,Libérate,Libérate,0.755,0.8079999999999999,7,-6.591,1,0.379,0.0,0.0816,0.525,92.262,182870,4,0.135
1,Destripando la Historia,Hestia,Hestia,0.858,0.574,6,-5.931,1,0.0632,0.0,0.301,0.938,121.99799999999999,212828,4,0.46
2,Brian the Sun,Lonely Go! (Another Edition),Lonely Go!,0.47700000000000004,0.9790000000000001,8,-1.65,1,0.0933,0.0,0.33299999999999996,0.449,102.036,238507,4,8.09e-05
3,Say Ocean,Primer Lugar,Primer Lugar,0.6679999999999999,0.9420000000000001,10,-1.859,0,0.134,0.0,0.0955,0.813,147.997,212939,4,0.044000000000000004
4,Alvei,Summertime Trap Ver.,Summertime Trap Ver.,0.846,0.366,9,-8.304,1,0.191,0.00257,0.0837,0.873,125.12899999999999,123115,4,0.0281
5,UVERworld,All Time Best,CORE PRIDE,0.46799999999999997,0.97,2,-2.9739999999999998,0,0.179,0.0,0.253,0.499,92.73200000000001,257560,4,0.00629
6,Ash_sing_Gg,Mi Vida Hoy,Mi Vida Hoy,0.608,0.718,1,-8.625,1,0.11699999999999999,0.0,0.161,0.456,133.869,109087,4,0.00206
7,Arath Herce,Miedo,Miedo,0.7020000000000001,0.336,8,-6.95,0,0.0392,2.32e-06,0.098,0.451,100.04299999999999,194325,3,0.498
8,Los Daniels,Déjame,Déjame,0.581,0.8590000000000001,1,-4.314,0,0.0318,1.65e-06,0.10300000000000001,0.732,86.446,212866,4,0.0208
9,Genitallica,Irresistible,Irresistible,0.53,0.77,9,-5.417000000000001,1,0.0931,6.53e-05,0.0677,0.8240000000000001,172.016,228451,4,0.0143
10,Melodycans,Ya No Llores,Ya No Llores,0.581,0.89,4,-4.678,1,0.0463,0.0,0.0716,0.93,169.986,195356,4,0.138
11,Mägo de Oz,30 años 30 canciones,El cantar de la luna oscura - Versión 2006,0.318,0.91,2,-3.4939999999999998,0,0.109,5.610000000000001e-05,0.18,0.654,127.51799999999999,313400,4,0.387
12,Carreyó,Jaime,Jaime,0.7809999999999999,0.405,1,-7.837000000000001,0,0.0343,0.0,0.0811,0.444,105.01299999999999,278619,3,0.619
13,Meimuna,Meimuna,La tristesse du diable,0.401,0.20600000000000002,10,-15.689,0,0.0366,0.22399999999999998,0.0937,0.179,129.941,210538,4,0.8959999999999999
14,Shayne Orok,"Yume no You na (From ""Dr. Stone"")","Yume no You na (From ""Dr. Stone"")",0.63,0.665,2,-6.841,0,0.0666,0.0,0.42,0.6809999999999999,89.046,87333,4,0.193
15,Werevertumorro Crew,Dame una oportunidad,Dame una oportunidad,0.537,0.938,4,-6.037999999999999,1,0.0672,0.0,0.0905,0.755,152.941,196471,4,0.00499
16,Various Artists,"Star Talent Anime Concert, Vol. 1",Blue Dream,0.467,0.486,5,-10.832,1,0.035,1.4300000000000002e-05,0.105,0.23199999999999998,142.297,251440,4,0.34700000000000003
17,Los Chotgun,Miel,Miel,0.725,0.7559999999999999,0,-5.336,1,0.0527,6.48e-06,0.638,0.596,92.00299999999999,261092,4,0.284
18,Erick Mendoza,Enredados,En Francés,0.708,0.344,2,-9.026,1,0.0349,0.0,0.33,0.5920000000000001,116.897,216556,4,0.9109999999999999
19,Rod,La Chica Que Se Va,La Chica Que Se Va,0.721,0.57,2,-11.734000000000002,0,0.0718,0.0,0.10800000000000001,0.39399999999999996,95.905,251242,4,0.13
20,Los Rumberos,Cuba Pintada,Fuiste Mía,0.667,0.6659999999999999,0,-8.738999999999999,0,0.10800000000000001,0.0,0.11,0.731,93.92399999999999,184773,4,0.665
21,Santa RM,"Rapeate Algo, vol. 1",Sin Rencores (Remix),0.616,0.5720000000000001,9,-5.803,1,0.0783,0.000377,0.27,0.853,79.707,227187,4,0.946
22,Christianvib,Gary Vuelve a Casa,Gary Vuelve a Casa,0.58,0.42100000000000004,7,-10.225,1,0.049,0.0,0.105,0.736,169.88299999999998,107023,4,0.7190000000000001
23,Gisell,"Y tú sabrás, Encantada","Y tú sabrás, Encantada",0.5920000000000001,0.565,9,-12.154000000000002,1,0.1,0.0,0.0576,0.608,86.95200000000001,241215,4,0.449
24,Sabino,Ñam Ñam Extravagan-Sab,Ñam Ñam Extravagan-Sab,0.7959999999999999,0.7659999999999999,10,-5.694,0,0.212,0.0,0.828,0.6509999999999999,98.006,101633,4,0.0781
25,Beverly,INFINITY,Again,0.6809999999999999,0.6920000000000001,1,-4.09,0,0.0247,0.0,0.091,0.315,129.968,293467,4,0.474
26,Nunca Jamas,Seis Tragos,Seis Tragos,0.473,0.81,11,-4.223,1,0.0336,0.0,0.109,0.405,79.999,166559,4,0.1
27,Los Master Plus,Máxima Temperatura,Máxima Temperatura,0.7340000000000001,0.914,9,-4.454,1,0.13699999999999998,0.0,0.102,0.894,81.479,179724,4,0.434
28,Lola Club,Vegas,Vegas,0.662,0.772,2,-4.792,1,0.0311,4.1700000000000004e-05,0.102,0.609,94.984,234107,4,0.20800000000000002
29,Kikin y Los Astros,Mi Corazón Encantado,Mi Corazón Encantado,0.7090000000000001,0.5920000000000001,5,-8.493,1,0.0282,0.000122,0.102,0.52,121.46700000000001,283707,4,0.16
0,Various Artists,Frozen 2 (Banda Sonora Original en Español/Edición Deluxe),Muéstrate,0.37200000000000005,0.318,6,-7.962999999999999,1,0.0303,5.5799999999999994e-05,0.0958,0.136,123.23299999999999,260907,4,0.8220000000000001
1,Jaime Altozano,Roundstein,Roundstein,0.588,0.63,9,-6.767,0,0.0364,0.207,0.327,0.5,87.97,245568,4,0.39
2,松澤由美,Yumi Matsuzawa AnimeSong Cover Album,Chikyuugi,0.547,0.54,7,-7.99,0,0.027999999999999997,0.0,0.322,0.491,102.976,252745,4,0.401
3,Los Malditos Subercaseaux,No Me Digas Que No,No Me Digas Que No,0.545,0.9009999999999999,11,-5.874,0,0.0576,4.94e-06,0.187,0.818,152.872,194656,4,0.00625
4,Various Artists,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「るろうに剣心 -明治剣客浪漫譚-」,1/2 (第39話〜82話 OP),0.7559999999999999,0.634,9,-7.356,1,0.0302,2.7600000000000003e-05,0.14400000000000002,0.397,122.885,308293,4,0.591
5,Leo Rey,Mortal Kumbiat,Mortal Kumbiat,0.85,0.8590000000000001,9,-3.594,1,0.0445,0.0,0.326,0.807,105.98899999999999,231887,4,0.21899999999999997
6,Do As Infinity,EIGHT,君がいない未来,0.395,0.951,5,-2.397,1,0.0539,0.0069,0.284,0.426,140.03799999999998,259573,4,0.000488
7,Bacilos,Carta a Cupido (Mariachi),Carta a Cupido - Mariachi,0.65,0.452,10,-6.581,1,0.054000000000000006,0.0,0.107,0.889,89.76100000000001,188176,4,0.662
8,Juanes,Más Futuro Que Pasado,Loco,0.753,0.885,6,-3.28,1,0.0682,0.0,0.177,0.946,153.987,196587,4,0.36200000000000004
9,Don Tetto,Ahogándonos,Ahogándonos,0.496,0.883,1,-4.567,1,0.0381,0.0,0.28600000000000003,0.909,159.955,221312,4,0.008409999999999999
10,DA PUMP,THE NEXT EXIT,Dragon Screamer,0.672,0.94,0,-2.421,1,0.0368,0.0,0.28,0.59,124.027,237233,4,0.0083
11,V0RA,IGNITE (Sword Art Online OP),IGNITE (Sword Art Online OP),0.40399999999999997,0.898,9,-5.847,0,0.127,0.0,0.0785,0.48,170.835,251579,4,0.0886
12,ElVallo,Pate Overload (DungeonOfDreams),Pate Overload (DungeonOfDreams),0.897,0.28,5,-18.455,0,0.266,7.879999999999999e-05,0.105,0.752,127.988,123794,4,0.114
13,Linked Horizon,Seishun wa Hanabi no Youni,Seishun wa Hanabi no Youni,0.424,0.888,5,-6.409,1,0.0345,0.0,0.375,0.772,183.364,93792,4,0.039
14,Bürdel King,Si Dios está en todas partes...,Mi color preferido eres tú,0.46,0.945,1,-3.361,1,0.0508,0.00236,0.0557,0.785,136.006,232701,4,0.0161
15,Shawn Christmas,"Spark Again (From ""Fire Force"")","Spark Again (From ""Fire Force"")",0.506,0.93,8,-6.646,1,0.06,0.00247,0.28300000000000003,0.581,89.975,239667,4,8.46e-05
16,黒崎真音,H.O.T.D.,君と太陽が死んだ日,0.478,0.9209999999999999,7,-5.561,0,0.0654,0.0,0.14800000000000002,0.102,104.00299999999999,220693,4,0.0154
17,Vittorio J. Greco,Dragon Ball Z Budokai 3 Opening,Dragon Ball Z Budokai 3 Opening,0.37799999999999995,0.9179999999999999,4,-3.865,1,0.0498,0.925,0.047,0.8029999999999999,185.053,98838,4,0.000182
18,Astroblk,"Soundcloud Archives, Vol. 1",Ooh Nani Nani,0.614,0.687,6,-10.061,1,0.0463,0.345,0.165,0.9009999999999999,169.75599999999997,158145,4,0.163
19,Los Auténticos Decadentes,Juntos para Siempre,Juntos para Siempre,0.638,0.836,0,-7.763,1,0.0418,0.0,0.289,0.9259999999999999,137.97299999999998,285326,4,0.305
20,Los Prisioneros,Estrechez de Corazón (En Vivo),Estrechez de Corazón (En Vivo),0.637,0.9940000000000001,5,-4.204,1,0.10800000000000001,0.000196,0.9470000000000001,0.326,127.01299999999999,440525,4,0.127
21,Nanaru,Kessen Spirit (Haikyuu!! Season 4),Kessen Spirit (Haikyuu!! Season 4),0.43,0.903,8,-4.752,1,0.0624,1.65e-06,0.0538,0.46,185.00099999999998,275845,4,0.00137
22,We.B,"Last Surprise (From ""Persona 5 Scramble: The Phantom Strikers"")","Last Surprise (From ""Persona 5 Scramble: The Phantom Strikers"")",0.623,0.972,5,-5.72,1,0.0663,1.39e-05,0.115,0.261,123.021,251796,4,0.0133
23,BACK-ON,rebirth,Chain 2020,0.519,0.892,10,-2.589,0,0.124,2.47e-05,0.0705,0.564,91.99700000000001,217333,4,0.0011099999999999999
24,Alex Ubago,Siempre en mi mente,Sigo aquí (Treasure Planet) (Tema principal de la B.S.O. El planeta del tesoro),0.547,0.648,9,-5.632000000000001,1,0.0299,0.0,0.0911,0.603,111.027,222320,3,0.00852
25,Trish Discord,Is This My Mental Breakdown?,Appease Me,0.584,0.478,6,-9.162,1,0.105,1.05e-06,0.0577,0.574,145.933,291056,4,0.248
26,大主宰乐团,剪刀刺客 (动画《刺客伍六七》主题曲),剪刀刺客 - 动画《刺客伍六七》主题曲,0.445,0.95,2,-4.133,0,0.0683,8.06e-05,0.0946,0.392,158.0,244557,4,0.00331
27,Jibaku Shonen Band,No.7,No.7,0.428,0.9420000000000001,6,-3.667,1,0.21100000000000002,1.4099999999999999e-05,0.276,0.431,94.919,232413,4,6.34e-05
28,Morat,No Termino,No Termino,0.7020000000000001,0.7490000000000001,11,-3.7430000000000003,1,0.0328,0.0,0.0839,0.8170000000000001,137.98,239827,4,0.0443
29,Doctor Krápula,Corazon Bombea,Mi Sol - En Vivo,0.633,0.914,0,-5.235,1,0.0691,0.0,0.871,0.6970000000000001,89.95,280720,4,0.0692
0,RC Succession,COMPLETE EPLP ~ALL TIME SINGLE COLLECTION~,イエスタデイをうたって,0.523,0.519,2,-8.574,0,0.0301,0.0,0.183,0.745,136.891,172707,4,0.293
1,(K)NoW_NAME,TVアニメ『Fairy gone フェアリーゴーン』OP&ED THEME SONG「KNOCK on the CORE/Ash-like Snow」,Ash-like Snow,0.359,0.892,2,-4.471,1,0.046,0.00013000000000000002,0.07200000000000001,0.519,189.968,253253,3,0.000109
2,Kenichiro Suehiro,OVA「Re:ゼロから始める異世界生活 Memory Snow」Memory Album,Relive,0.507,0.889,9,-3.141,0,0.049,2.79e-06,0.0593,0.5920000000000001,97.859,241320,4,0.015
3,茅原実里,SPIRAL,みちしるべ,0.27,0.402,9,-6.197,1,0.0339,0.0,0.0871,0.22399999999999998,173.35,286427,4,0.165
4,TOTALFAT,Grown Kids,Place to Try - Live at 新木場STUDIO COAST「FAST AND TIGHT tour 2017」2017.10.29,0.38,0.95,6,-4.258,1,0.127,3.71e-05,0.32799999999999996,0.28300000000000003,114.19,350173,4,0.0183
5,m-flo,KYO,HUMAN LOST - feat. J. Balvin,0.617,0.6709999999999999,0,-5.617999999999999,1,0.0451,0.0,0.135,0.23800000000000002,146.955,280065,4,0.10800000000000001
6,Mugi Piano,"Centimeter (Rent-A-Girlfriend: Kanojo, Okarishimasu)","Centimeter (Rent-A-Girlfriend: Kanojo, Okarishimasu)",0.514,0.41100000000000003,2,-15.436,1,0.0417,0.961,0.11900000000000001,0.5920000000000001,145.024,84877,4,0.983
7,加藤達也,TVアニメ「Dr.STONE」オリジナルサウンドトラック,Get Exited!!,0.609,0.873,9,-9.702,0,0.0342,0.81,0.0557,0.5539999999999999,119.964,132467,4,0.0207
8,Kiyoharu,Japanese Menu / Distortion 10,Survive of Vision,0.418,0.8320000000000001,11,-4.906000000000001,0,0.0638,1.99e-05,0.0945,0.29600000000000004,95.916,277067,3,0.204
9,张赫宣,亲爱的姑娘你为何要离开 (动画《刺客伍六七》插曲),亲爱的姑娘你为何要离开 - 动画《刺客伍六七》插曲,0.28600000000000003,0.387,7,-6.122999999999999,0,0.0301,0.0,0.115,0.287,185.74200000000002,286029,3,0.515
10,Otaku Ongaku,Shiki No Uta (Samurai Champloo),Shiki No Uta (Samurai Champloo),0.423,0.852,10,-4.612,0,0.111,0.00216,0.11699999999999999,0.506,183.908,299044,4,0.203
11,yourness,籠の中に鳥,籠の中に鳥,0.406,0.705,2,-4.65,1,0.0345,4.21e-06,0.113,0.3,161.863,316545,4,0.0234
12,Yuki Hayashi,TVアニメ『僕のヒーローアカデミア』4th オリジナルサウンドトラック,Might,0.156,0.297,7,-8.687999999999999,1,0.0311,3.04e-05,0.0584,0.0975,87.084,343000,5,0.78
13,LOZAREENA,Inner Universe,Over Me,0.58,0.958,6,-2.217,1,0.124,0.0,0.6459999999999999,0.9009999999999999,151.929,166533,4,0.177
14,Ena Fujita,DEAD STROKE,DEAD STROKE,0.5379999999999999,0.905,9,-3.7039999999999997,1,0.0426,7.43e-05,0.075,0.759,95.061,197295,4,8.48e-05
15,BIG BROTHER 84,Metronome,Metronome - FERD Remix,0.413,0.9790000000000001,8,-5.1370000000000005,1,0.27699999999999997,0.0336,0.596,0.27699999999999997,200.09599999999998,180000,4,0.0775
16,Kohmi Hirose,"広瀬香美 THE BEST ""Love Winters""",Groovy!,0.8009999999999999,0.807,9,-4.7860000000000005,0,0.0744,4e-05,0.0617,0.7290000000000001,122.97399999999999,257267,4,0.175
17,Yutaka Yamada,東京喰種トーキョーグール:re Original Soundtrack,Remembering (feat. Tate McRae),0.174,0.28800000000000003,2,-8.649,1,0.0388,4.01e-06,0.0918,0.289,78.793,276600,4,0.8759999999999999
18,AmPm,プリズム,プリズム,0.63,0.5379999999999999,6,-7.059,1,0.0318,0.0,0.0952,0.23800000000000002,98.012,238667,4,0.0871
19,Various Artists,熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「コードギアス 反逆のルルーシュ」 vol.1 [主題歌OP/ED 編],モザイクカケラ (STAGE13〜23 ED),0.62,0.782,10,-5.662000000000001,0,0.0342,3.22e-06,0.0665,0.754,130.01,277087,4,0.223
20,H.O.F,Don Evil,Don Evil,0.6709999999999999,0.6509999999999999,3,-9.406,0,0.295,0.0,0.10800000000000001,0.826,78.881,242943,4,0.13
21,NSZX,Next to you (from Parasyte),Next to you - from Parasyte,0.43,0.319,4,-14.035,0,0.0436,0.917,0.136,0.32,94.964,213231,4,0.7829999999999999
22,ClariS,Summer Tracks - Natsu No Uta,Secret Base - Kimiga Kuretamono,0.479,0.818,6,-4.779,1,0.0395,0.00043499999999999995,0.215,0.514,144.684,296587,4,0.25
23,Halo at Yojohan,ANATOMIES,ナラク,0.354,0.856,1,-4.897,1,0.0344,0.0005009999999999999,0.335,0.7909999999999999,179.915,226667,4,0.000675
24,Curse,Top (Tower of God),Top (Tower of God),0.518,0.765,7,-8.228,1,0.0357,0.78,0.32299999999999995,0.135,98.00299999999999,90612,4,3.05e-05
25,Jaze,Pinta Nomá',Pinta Nomá',0.63,0.235,9,-11.599,1,0.0369,0.00244,0.136,0.309,110.321,152471,4,0.74
26,Q-MHz feat. 日高光啓 a.k.a. SKY-HI,風強く、君熱く。,風強く、君熱く。,0.335,0.997,8,-1.102,1,0.099,0.0,0.0336,0.595,193.965,217129,4,0.00436
27,STUNK(CV:JUNJI MAJIMA),OPENING&ENDING THEME FROM TV SERIES ”INTERSPECIES REVIEWERS”,HANABIRA ONDO,0.42700000000000005,0.9540000000000001,2,-2.76,1,0.2,4.02e-06,0.43700000000000006,0.584,77.437,215388,5,0.0537
28,Happy Heads NANIYORI,Omedetai Atama de Naniyori 2,Sorrow Like Lightning / Ai-shiden-issen,0.52,0.9390000000000001,6,-4.234,1,0.153,2.78e-05,0.0803,0.713,103.956,191600,4,0.00199
29,Mia REGINA,I got it!,I got it!,0.426,0.958,7,-1.98,1,0.153,0.0,0.345,0.599,199.954,231200,4,0.0144
